gender,age,academic_pressure,cgpa,study_satisfaction,sleep_duration,dietary_habits,have_you_ever_had_suicidal_thoughts_,work_study_hours,financial_stress,family_history_of_mental_illness,degree_grouped,city_grouped
Male,18.0,4.0,6.02,1.0,'7-8 hours',Moderate,Yes,3.0,5.0,No,'Class 12',Jaipur
Male,25.0,3.0,6.37,2.0,'7-8 hours',Moderate,No,9.0,1.0,Yes,B.Arch,Vadodara
Male,30.0,3.0,9.24,2.0,'7-8 hours',Unhealthy,Yes,5.0,5.0,Yes,M.Ed,Ahmedabad
Male,34.0,3.0,7.37,5.0,'7-8 hours',Moderate,Yes,12.0,3.0,No,B.Com,Bhopal
Male,25.0,3.0,7.47,4.0,'5-6 hours',Unhealthy,No,11.0,5.0,No,B.Com,Patna
Female,29.0,1.0,9.93,5.0,'Less than 5 hours',Healthy,No,6.0,2.0,No,M.Ed,Kolkata
Male,31.0,3.0,5.24,2.0,'5-6 hours',Healthy,Yes,12.0,4.0,No,LLB,Kanpur
Male,24.0,4.0,8.39,2.0,'More than 8 hours',Unhealthy,Yes,12.0,2.0,No,BCA,Patna
Male,32.0,3.0,9.41,1.0,'7-8 hours',Unhealthy,No,9.0,4.0,No,LLB,Ghaziabad
Male,26.0,1.0,7.09,1.0,'More than 8 hours',Unhealthy,No,11.0,1.0,No,B.Arch,Bhopal
Male,29.0,1.0,5.71,1.0,'More than 8 hours',Unhealthy,No,4.0,3.0,No,MSc,Kalyan
Male,21.0,5.0,7.72,2.0,'Less than 5 hours',Moderate,Yes,11.0,4.0,No,MCA,Pune
Female,25.0,3.0,7.13,4.0,'5-6 hours',Unhealthy,No,1.0,2.0,Yes,B.Arch,Jaipur
Male,24.0,3.0,5.66,5.0,'More than 8 hours',Healthy,Yes,10.0,4.0,Yes,B.Pharm,Pune
Male,20.0,1.0,6.69,2.0,'5-6 hours',Moderate,No,3.0,2.0,Yes,'Class 12',Srinagar
Male,20.0,2.0,9.93,3.0,'More than 8 hours',Healthy,Yes,3.0,4.0,Yes,'Class 12',Kalyan
Female,33.0,3.0,5.48,3.0,'7-8 hours',Moderate,Yes,0.0,2.0,No,BE,Srinagar
Male,22.0,1.0,9.41,4.0,'More than 8 hours',Unhealthy,No,1.0,5.0,No,BCA,Chennai
Female,20.0,3.0,9.88,3.0,'Less than 5 hours',Moderate,Yes,10.0,4.0,No,'Class 12',Ludhiana
Female,31.0,3.0,9.42,2.0,'7-8 hours',Moderate,Yes,10.0,3.0,Yes,M.Ed,Meerut
Female,19.0,1.0,7.09,2.0,'5-6 hours',Moderate,Yes,1.0,1.0,Yes,'Class 12',Bhopal
Female,29.0,5.0,8.62,1.0,'More than 8 hours',Unhealthy,Yes,12.0,5.0,Yes,MD,Lucknow
Male,23.0,2.0,5.74,5.0,'More than 8 hours',Unhealthy,No,6.0,1.0,No,B.Tech,Pune
Female,29.0,2.0,7.53,5.0,'Less than 5 hours',Moderate,No,0.0,1.0,Yes,LLB,Surat
Male,29.0,5.0,7.94,1.0,'5-6 hours',Moderate,No,4.0,3.0,No,BSc,Ghaziabad
Female,20.0,2.0,9.17,3.0,'Less than 5 hours',Unhealthy,Yes,7.0,5.0,No,'Class 12',Chennai
Male,33.0,3.0,5.88,3.0,'More than 8 hours',Unhealthy,Yes,11.0,1.0,No,M.Pharm,Kolkata
Female,29.0,5.0,9.6,2.0,'5-6 hours',Moderate,No,12.0,3.0,Yes,B.Arch,Vasai-Virar
Female,25.0,2.0,6.05,4.0,'Less than 5 hours',Moderate,Yes,1.0,2.0,No,M.Tech,Kanpur
Male,32.0,3.0,5.16,1.0,'More than 8 hours',Unhealthy,Yes,0.0,4.0,Yes,B.Arch,Varanasi
Male,28.0,5.0,9.96,2.0,'7-8 hours',Unhealthy,Yes,10.0,5.0,No,B.Com,Varanasi
Male,24.0,1.0,9.93,5.0,'5-6 hours',Healthy,Yes,7.0,3.0,Yes,B.Pharm,Jaipur
Male,19.0,2.0,8.5,5.0,'5-6 hours',Unhealthy,No,6.0,2.0,Yes,'Class 12',Ghaziabad
Male,31.0,5.0,8.61,3.0,'Less than 5 hours',Moderate,Yes,1.0,4.0,Yes,MBBS,Agra
Male,31.0,1.0,7.52,5.0,'Less than 5 hours',Healthy,Yes,5.0,1.0,Yes,Other,Srinagar
Male,27.0,1.0,9.24,4.0,'5-6 hours',Moderate,No,7.0,2.0,Yes,MA,Vasai-Virar
Male,26.0,3.0,8.5,4.0,'Less than 5 hours',Moderate,Yes,10.0,5.0,No,'Class 12',Srinagar
Male,26.0,4.0,6.75,2.0,'Less than 5 hours',Healthy,Yes,6.0,3.0,Yes,MBBS,Surat
Female,25.0,3.0,9.94,3.0,'5-6 hours',Healthy,Yes,12.0,4.0,No,MSc,Nagpur
Female,20.0,4.0,5.08,2.0,'Less than 5 hours',Unhealthy,Yes,10.0,2.0,No,'Class 12',Kanpur
Male,24.0,3.0,9.19,3.0,'More than 8 hours',Healthy,Yes,10.0,4.0,No,B.Tech,Vasai-Virar
Male,23.0,5.0,5.59,5.0,'Less than 5 hours',Unhealthy,Yes,9.0,4.0,No,MBA,Visakhapatnam
Female,29.0,2.0,8.14,1.0,'Less than 5 hours',Moderate,Yes,10.0,1.0,Yes,BCA,Vasai-Virar
Female,25.0,3.0,6.21,3.0,'5-6 hours',Healthy,Yes,6.0,3.0,No,B.Tech,Bangalore
Female,24.0,4.0,5.16,2.0,'Less than 5 hours',Moderate,No,0.0,1.0,No,BSc,Kalyan
Male,23.0,4.0,10.0,4.0,'More than 8 hours',Moderate,Yes,1.0,5.0,Yes,LLB,Mumbai
Male,33.0,3.0,9.41,2.0,'7-8 hours',Healthy,Yes,10.0,4.0,Yes,B.Arch,Vadodara
Female,34.0,3.0,9.96,3.0,'Less than 5 hours',Unhealthy,Yes,6.0,4.0,No,MA,Bhopal
Female,22.0,3.0,9.5,4.0,'7-8 hours',Healthy,Yes,9.0,3.0,Yes,BCA,Rajkot
Female,21.0,5.0,7.09,4.0,'More than 8 hours',Moderate,Yes,8.0,3.0,No,B.Arch,Ghaziabad
Female,28.0,5.0,6.38,2.0,'7-8 hours',Healthy,No,6.0,4.0,Yes,B.Pharm,Visakhapatnam
Female,22.0,2.0,7.61,2.0,'7-8 hours',Moderate,Yes,1.0,3.0,Yes,'Class 12',Chennai
Female,20.0,4.0,8.09,3.0,'7-8 hours',Healthy,No,7.0,2.0,No,'Class 12',Kanpur
Male,23.0,2.0,9.44,2.0,'7-8 hours',Healthy,No,12.0,3.0,No,MCA,Vadodara
Female,21.0,5.0,5.11,5.0,'5-6 hours',Unhealthy,Yes,10.0,4.0,Yes,B.Arch,Srinagar
Male,22.0,1.0,8.74,1.0,'More than 8 hours',Healthy,No,6.0,1.0,No,MSc,Surat
Female,24.0,3.0,6.02,4.0,'5-6 hours',Healthy,Yes,12.0,4.0,No,B.Arch,Hyderabad
Male,23.0,5.0,5.86,3.0,'Less than 5 hours',Unhealthy,Yes,10.0,2.0,No,B.Tech,Kalyan
Female,27.0,5.0,9.41,1.0,'7-8 hours',Healthy,Yes,12.0,2.0,Yes,Other,Patna
Male,18.0,5.0,6.89,1.0,'7-8 hours',Moderate,Yes,5.0,1.0,Yes,'Class 12',Patna
Male,30.0,3.0,6.39,2.0,'5-6 hours',Unhealthy,Yes,8.0,1.0,No,BCA,Rajkot
Male,33.0,1.0,9.96,3.0,'More than 8 hours',Unhealthy,Yes,2.0,1.0,Yes,MCA,Ahmedabad
Male,24.0,1.0,7.77,1.0,'5-6 hours',Moderate,No,4.0,3.0,Yes,B.Arch,Ghaziabad
Male,24.0,5.0,6.81,4.0,'5-6 hours',Healthy,Yes,10.0,3.0,No,Other,Kalyan
Female,24.0,2.0,5.48,2.0,'Less than 5 hours',Moderate,Yes,12.0,3.0,Yes,'Class 12',Varanasi
Male,21.0,3.0,6.38,5.0,'Less than 5 hours',Healthy,Yes,8.0,5.0,No,MCA,Rajkot
Female,22.0,4.0,8.04,1.0,'More than 8 hours',Moderate,Yes,4.0,5.0,No,M.Com,Chennai
Male,33.0,5.0,8.74,4.0,'5-6 hours',Moderate,No,0.0,2.0,No,M.Tech,Agra
Female,26.0,5.0,7.32,5.0,'Less than 5 hours',Healthy,Yes,8.0,2.0,Yes,B.Ed,Jaipur
Male,31.0,4.0,5.72,5.0,'More than 8 hours',Moderate,No,6.0,1.0,Yes,'Class 12',Patna
Male,19.0,3.0,8.24,3.0,'Less than 5 hours',Healthy,Yes,11.0,2.0,Yes,'Class 12',Other
Male,27.0,4.0,5.99,3.0,'Less than 5 hours',Unhealthy,Yes,10.0,1.0,No,B.Tech,Delhi
Male,25.0,3.0,9.49,1.0,'7-8 hours',Moderate,Yes,12.0,4.0,No,BE,Surat
Female,30.0,1.0,5.99,2.0,'More than 8 hours',Moderate,No,11.0,3.0,Yes,B.Com,Bangalore
Male,30.0,4.0,9.96,1.0,'More than 8 hours',Moderate,No,11.0,2.0,No,MCA,Hyderabad
Male,24.0,4.0,5.79,5.0,'7-8 hours',Healthy,Yes,8.0,4.0,Yes,M.Tech,Rajkot
Male,27.0,1.0,7.49,3.0,'5-6 hours',Healthy,No,7.0,1.0,Yes,MD,Hyderabad
Female,20.0,2.0,6.69,3.0,'Less than 5 hours',Moderate,Yes,12.0,4.0,Yes,'Class 12',Ludhiana
Male,30.0,2.0,7.51,2.0,'5-6 hours',Moderate,Yes,8.0,4.0,Yes,BHM,Hyderabad
Male,24.0,1.0,8.58,5.0,'5-6 hours',Healthy,Yes,3.0,5.0,No,BE,Nagpur
Female,27.0,3.0,6.1,2.0,'5-6 hours',Moderate,Yes,11.0,5.0,No,BSc,Patna
Male,33.0,5.0,7.61,2.0,'Less than 5 hours',Unhealthy,Yes,10.0,4.0,No,BHM,Ahmedabad
Male,24.0,3.0,6.78,5.0,'5-6 hours',Unhealthy,Yes,10.0,5.0,Yes,'Class 12',Lucknow
Female,33.0,5.0,6.27,5.0,'More than 8 hours',Healthy,No,9.0,1.0,No,MSc,Bangalore
Female,19.0,5.0,9.5,3.0,'5-6 hours',Unhealthy,Yes,9.0,2.0,Yes,'Class 12',Hyderabad
Female,33.0,5.0,8.62,2.0,'5-6 hours',Moderate,Yes,9.0,3.0,Yes,Other,Srinagar
Female,23.0,5.0,8.91,1.0,'More than 8 hours',Moderate,Yes,6.0,2.0,No,BSc,Vasai-Virar
Male,24.0,3.0,6.04,4.0,'More than 8 hours',Moderate,No,6.0,2.0,No,B.Pharm,Visakhapatnam
Male,26.0,4.0,8.75,1.0,'Less than 5 hours',Unhealthy,Yes,11.0,1.0,No,BCA,Surat
Male,33.0,5.0,8.58,4.0,'Less than 5 hours',Moderate,No,9.0,1.0,No,MCA,Jaipur
Male,19.0,3.0,6.89,5.0,'Less than 5 hours',Moderate,Yes,11.0,2.0,No,'Class 12',Surat
Female,28.0,4.0,7.25,4.0,'More than 8 hours',Moderate,No,7.0,3.0,Yes,BE,Varanasi
Female,28.0,4.0,9.72,1.0,'5-6 hours',Healthy,Yes,5.0,4.0,Yes,BSc,Thane
Female,25.0,1.0,5.59,4.0,'5-6 hours',Moderate,Yes,10.0,3.0,No,BCA,Thane
Male,27.0,2.0,6.02,2.0,'More than 8 hours',Healthy,Yes,8.0,5.0,Yes,B.Ed,Bhopal
Male,20.0,4.0,8.04,3.0,'7-8 hours',Moderate,No,7.0,1.0,No,'Class 12',Kanpur
Male,29.0,4.0,6.78,2.0,'More than 8 hours',Unhealthy,Yes,6.0,5.0,No,M.Pharm,Nagpur
Male,27.0,4.0,8.69,2.0,'More than 8 hours',Unhealthy,Yes,5.0,5.0,Yes,B.Ed,Jaipur
